comp0_NID	IW_ID	Ensemble	HUGO
379	660	ENSG00000143333	RGS16

380	661	ENSG00000180901	KCTD2

381	662	ENSG00000211619	IGKV2-40

382	663	ENSG00000115129	TP53I3

383	665	ENSG00000007541	PIGQ

384	666	ENSG00000184857	TMEM186

385	667	ENSG00000010610	CD4

386	668	ENSG00000138207	RBP4

387	669	ENSG00000072401	UBE2D1

388	677	ENSG00000205356	TECPR1

389	679	ENSG00000136522	MRPL47

390	681	ENSG00000108523	RNF167

391	682	ENSG00000110148	CCKBR

392	683	ENSG00000105679	GAPDHS

393	684	ENSG00000150527	CTAGE5

394	685	ENSG00000122696	MCART1

395	686	ENSG00000206454	ENSG00000206454

396	688	ENSG00000132383	RPA1

397	689	ENSG00000105298	C19orf29

398	693	ENSG00000002586	CD99

399	694	ENSG00000197822	OCLN

400	696	ENSG00000211612	IGKV2-24

401	698	ENSG00000118271	TTR

402	700	ENSG00000091844	RGS17

403	701	ENSG00000165219	GAPVD1

404	702	ENSG00000166896	XRCC6BP1

405	705	ENSG00000153064	BANK1

406	706	ENSG00000139546	TARBP2

407	707	ENSG00000119866	BCL11A

408	708	ENSG00000078328	RBFOX1

409	712	ENSG00000170482	SLC23A1

410	714	ENSG00000139572	GPR84

411	715	ENSG00000186446	ZNF501

412	716	ENSG00000111845	PAK1IP1

413	717	ENSG00000165178	NCF1C

414	718	ENSG00000007944	MYLIP

415	719	ENSG00000101464	PIGU

416	721	ENSG00000077092	RARB

417	722	ENSG00000164972	C9orf24

418	724	ENSG00000168452	PPT2

419	726	ENSG00000182255	KCNA4

420	729	ENSG00000135951	TSGA10

421	732	ENSG00000066455	GOLGA5

422	733	ENSG00000215157	ENSG00000215157

423	734	ENSG00000197530	MIB2

424	735	ENSG00000171055	FEZ2

425	736	ENSG00000163221	S100A12

426	737	ENSG00000198563	SNORD84

427	741	ENSG00000118217	ATF6

428	742	ENSG00000184056	VPS33B

429	743	ENSG00000138757	G3BP2

430	745	ENSG00000142867	BCL10

431	747	ENSG00000187288	CIDEC

432	748	ENSG00000011304	PTBP1

433	749	ENSG00000154975	CA10

434	750	ENSG00000147679	UTP23

435	752	ENSG00000162458	FBLIM1

436	755	ENSG00000135698	MPHOSPH6

437	757	ENSG00000198650	TAT

438	758	ENSG00000102054	RBBP7

439	759	ENSG00000112096	SOD2

440	760	ENSG00000173113	HSPC152

441	761	ENSG00000215629	LOC728830

442	763	ENSG00000134121	CHL1

443	764	ENSG00000121542	SEC22A

444	765	ENSG00000171291	ZNF439

445	768	ENSG00000214575	CPEB1

446	769	ENSG00000206385	ENSG00000206385

447	771	ENSG00000006282	SPATA20

448	774	ENSG00000135318	NT5E

449	775	ENSG00000171116	HSFX2

450	778	ENSG00000146070	PLA2G7

451	779	ENSG00000147140	NONO

452	781	ENSG00000151239	TWF1

453	782	ENSG00000172724	CCL19

454	784	ENSG00000173636	ENSG00000173636

455	787	ENSG00000163736	PPBP

456	792	ENSG00000080819	CPOX

457	793	ENSG00000135114	OASL

458	795	ENSG00000204531	POU5F1

459	797	ENSG00000087087	SRRT

460	798	ENSG00000164619	BMPER

461	800	ENSG00000185716	C16orf52

462	801	ENSG00000185100	ADSSL1

463	802	ENSG00000187601	MAGEH1

464	805	ENSG00000086548	CEACAM6

465	806	ENSG00000135763	URB2

466	810	ENSG00000162399	BSND

467	813	ENSG00000161395	PERLD1

468	815	ENSG00000085563	ABCB1

469	819	ENSG00000112029	FBXO5

470	820	ENSG00000108518	PFN1

471	824	ENSG00000213619	NDUFS3

472	825	ENSG00000184481	FOXO4

473	828	ENSG00000163467	C1orf182

474	829	ENSG00000158220	FAM62C

475	830	ENSG00000179097	HTR1F

476	832	ENSG00000100836	PABPN1

477	833	ENSG00000126756	UXT

478	835	ENSG00000134453	RBM17

479	837	ENSG00000004455	AK2

480	839	ENSG00000215232	ENSG00000215232

481	842	ENSG00000213420	GPC2

482	845	ENSG00000138964	PARVG

483	848	ENSG00000167632	TRAPPC9

484	852	ENSG00000160883	HK3

485	853	ENSG00000164076	CAMKV

486	857	ENSG00000185950	IRS2

487	858	ENSG00000170091	HMP19

488	859	ENSG00000129071	MBD4

489	863	ENSG00000164329	PAPD4

490	864	ENSG00000156983	BRPF1

491	865	ENSG00000047578	KIAA0556

492	867	ENSG00000108669	CYTH1

493	868	ENSG00000119912	IDE

494	869	ENSG00000172053	QARS

495	871	ENSG00000163132	MSX1

496	872	ENSG00000178458	HIST1H3G

497	874	ENSG00000108759	KRT32

498	875	ENSG00000070371	CLTCL1

499	876	ENSG00000107014	RLN2

500	878	ENSG00000167393	PPP2R3B

501	881	ENSG00000038945	MSR1

502	884	ENSG00000177239	MAN1B1

503	886	ENSG00000053372	MRTO4

504	887	ENSG00000077063	CTTNBP2

505	888	ENSG00000183813	CCR4

506	889	ENSG00000134443	GRP

507	890	ENSG00000206328	ENSG00000206328

508	891	ENSG00000108691	CCL2

509	893	ENSG00000170619	COMMD5

510	894	ENSG00000211829	ENSG00000211829

511	897	ENSG00000121057	AKAP1

512	898	ENSG00000131368	MRPS25

513	900	ENSG00000126259	KIRREL2

514	901	ENSG00000013573	DDX11

515	904	ENSG00000158578	ALAS2

516	907	ENSG00000120963	ZNF706

517	908	ENSG00000124226	RNF114

518	909	ENSG00000182400	TRAPPC6B

519	910	ENSG00000175928	LRRN1

520	911	ENSG00000198767	YY2

521	914	ENSG00000139197	PEX5

522	915	ENSG00000206247	ENSG00000206247

523	916	ENSG00000183814	LIN9

524	917	ENSG00000005238	KIAA1539

525	919	ENSG00000134107	BHLHE40

526	920	ENSG00000136824	SMC2

527	921	ENSG00000215691	LOC727732

528	922	ENSG00000100122	CRYBB1

529	925	ENSG00000175544	CABP4

530	926	ENSG00000160746	ANO10

531	927	ENSG00000171791	BCL2

532	929	ENSG00000121691	CAT

533	930	ENSG00000170540	ARL6IP1

534	932	ENSG00000184983	NDUFA6

535	933	ENSG00000146918	NCAPG2

536	934	ENSG00000196526	AFAP1

537	935	ENSG00000130522	JUND

538	936	ENSG00000111605	CPSF6

539	937	ENSG00000169851	PCDH7

540	939	ENSG00000037280	FLT4

541	940	ENSG00000177688	SUMO4

542	941	ENSG00000173918	C1QTNF1

543	942	ENSG00000179361	ARID3B

544	944	ENSG00000044524	EPHA3

545	946	ENSG00000066279	ASPM

546	948	ENSG00000197965	MPZL1

547	949	ENSG00000189077	TMEM120A

548	950	ENSG00000062725	APPBP2

549	952	ENSG00000117697	NSL1

550	955	ENSG00000072163	LIMS2

551	958	ENSG00000163064	EN1

552	959	ENSG00000189221	MAOA

553	960	ENSG00000143702	CEP170

554	965	ENSG00000129988	LBP

555	968	ENSG00000198728	LDB1

556	969	ENSG00000214113	LYRM4

557	970	ENSG00000185897	FFAR3

558	971	ENSG00000196236	XPNPEP3

559	972	ENSG00000164535	DAGLB

560	973	ENSG00000115616	SLC9A2

561	975	ENSG00000160209	PDXK

562	976	ENSG00000205670	FAM165B

563	977	ENSG00000142405	NLRP12

564	978	ENSG00000173153	ESRRA

565	980	ENSG00000185686	PRAME

566	981	ENSG00000168958	MFF

567	982	ENSG00000104723	TUSC3

568	985	ENSG00000167779	IGFBP6

569	987	ENSG00000111667	USP5

570	988	ENSG00000177697	CD151

571	989	ENSG00000163362	C1orf106

572	991	ENSG00000137656	BUD13

573	992	ENSG00000123500	COL10A1

574	993	ENSG00000125482	TTF1

575	994	ENSG00000105339	DENND3

576	996	ENSG00000106617	PRKAG2

577	1000	ENSG00000104691	UBXN8

578	1001	ENSG00000144227	NXPH2

579	1002	ENSG00000204681	GABBR1

580	1007	ENSG00000006634	DBF4

581	1009	ENSG00000198478	SH3BGRL2

582	1010	ENSG00000155304	HSPA13

583	1011	ENSG00000211454	AKR7L

584	1012	ENSG00000130475	FCHO1

585	1015	ENSG00000109390	NDUFC1

586	1017	ENSG00000143450	OAZ3

587	1020	ENSG00000206156	ARHGDIG

588	1022	ENSG00000145349	CAMK2D

589	1023	ENSG00000165023	DIRAS2

590	1033	ENSG00000123091	RNF11

591	1035	ENSG00000175325	PROP1

592	1036	ENSG00000196873	CBWD3

593	1039	ENSG00000010626	LRRC23

594	1040	ENSG00000141655	TNFRSF11A

595	1041	ENSG00000120256	LRP11

596	1045	ENSG00000150760	DOCK1

597	1047	ENSG00000198805	NP

598	1049	ENSG00000108055	SMC3

599	1050	ENSG00000101444	AHCY

600	1054	ENSG00000211979	IGHV7-81

601	1055	ENSG00000111671	SPSB2

602	1062	ENSG00000215220	ENSG00000215220

603	1064	ENSG00000157764	BRAF

604	1066	ENSG00000115641	FHL2

605	1067	ENSG00000005955	GGNBP2

606	1068	ENSG00000056097	ZFR

607	1069	ENSG00000063244	U2AF2

608	1070	ENSG00000106853	PTGR1

609	1071	ENSG00000198843	LOC645969

610	1072	ENSG00000132376	INPP5K

611	1075	ENSG00000147168	IL2RG

612	1077	ENSG00000197172	MAGEA12

613	1078	ENSG00000111276	CDKN1B

614	1080	ENSG00000100604	CHGA

615	1081	ENSG00000105383	CD33

616	1082	ENSG00000091513	TF

617	1083	ENSG00000092067	CEBPE

618	1089	ENSG00000106688	SLC1A1

619	1092	ENSG00000109220	CHIC2

620	1093	ENSG00000117174	ZNHIT6

621	1096	ENSG00000170264	FAM161A

622	1098	ENSG00000166133	RPUSD2

623	1100	ENSG00000093009	CDC45L

624	1106	ENSG00000141279	NPEPPS

625	1108	ENSG00000101365	IDH3B

626	1109	ENSG00000125207	PIWIL1

627	1110	ENSG00000134245	WNT2B

628	1112	ENSG00000167695	FAM57A

629	1114	ENSG00000136205	TNS3

630	1115	ENSG00000134256	IGSF2

631	1119	ENSG00000143190	POU2F1

632	1121	ENSG00000145604	SKP2

633	1124	ENSG00000167081	PBX3

634	1127	ENSG00000164825	DEFB1

635	1129	ENSG00000198818	SFT2D1

636	1130	ENSG00000143401	ANP32E

637	1131	ENSG00000102898	NUTF2

638	1132	ENSG00000102391	ENSG00000102391

639	1135	ENSG00000120658	ENOX1

640	1137	ENSG00000119673	ACOT2

641	1139	ENSG00000087077	TRIP6

642	1141	ENSG00000187730	GABRD

643	1143	ENSG00000163026	C2orf44

644	1149	ENSG00000108270	AATF

645	1150	ENSG00000125841	NRSN2

646	1152	ENSG00000172037	LAMB2

647	1154	ENSG00000092850	TEKT2

648	1156	ENSG00000120087	HOXB7

649	1157	ENSG00000139719	VPS33A

650	1158	ENSG00000213927	CCL27

651	1161	ENSG00000215305	VPS16A

652	1162	ENSG00000144583	MARCH4

653	1163	ENSG00000162542	TMCO4

654	1165	ENSG00000124601	ENSG00000124601

655	1167	ENSG00000182217	HIST2H4B

656	1169	ENSG00000117500	TMED5

657	1170	ENSG00000178691	SUZ12

658	1172	ENSG00000005194	CIAPIN1

659	1174	ENSG00000204439	C6orf47

660	1175	ENSG00000154127	UBASH3B

661	1176	ENSG00000155906	RMND1

662	1179	ENSG00000095139	ARCN1

663	1181	ENSG00000145911	N4BP3

664	1182	ENSG00000075891	PAX2

665	1185	ENSG00000169710	FASN

666	1191	ENSG00000139626	ITGB7

667	1192	ENSG00000167964	RAB26

668	1194	ENSG00000160218	TRAPPC10

669	1195	ENSG00000159593	NAE1

670	1197	ENSG00000112304	ACOT13

671	1199	ENSG00000164761	TNFRSF11B

672	1200	ENSG00000172179	PRL

673	1203	ENSG00000146122	DAAM2

674	1206	ENSG00000183682	BMP8A

675	1207	ENSG00000118729	CASQ2

676	1208	ENSG00000138175	ARL3

677	1209	ENSG00000119917	IFIT3

678	1210	ENSG00000079482	OPHN1

679	1211	ENSG00000162975	KCNF1

680	1213	ENSG00000173482	PTPRM

681	1214	ENSG00000213030	CGB8

682	1216	ENSG00000015568	RGPD5

683	1217	ENSG00000169045	HNRNPH1

684	1218	ENSG00000117682	DHDDS

685	1219	ENSG00000206324	ENSG00000206324

686	1220	ENSG00000132207	GIYD2

687	1221	ENSG00000185254	TEX28

688	1222	ENSG00000138193	PLCE1

689	1223	ENSG00000119950	MXI1

690	1224	ENSG00000100994	PYGB

