Ensemble CGE_2A DFC_2A HIP_2A LGE_2A M1C.S1C_2A MFC_2A OFC_2A PCx_2A MGE_2A Ocx_2A HIP_2B HIP_3A S1C_3A V1C_4 STC_3B IPC_3A CBC_4 M1C_3A STR_3A DFC_4
ENSG00000082996 0 0 0 0 0 0 0 0 0 0 0 0 0 -8.44666979505421 -83.2097911754743 0 0 0 0 -73.4812058841464
ENSG00000138772 -3.39737771849594 0 0 -3.08847711890244 0 0 0 0 -6.44988349339431 0 -6.45518114922087 -6.5370007020664 -6.80374749068428 -10.9682261661585 -6.41242954014228 -6.78994521426152 0 -6.85187606792006 -2.76013506605691 -11.109633757622
ENSG00000171456 19.1636240430216 0 0 0 51.6398426355013 26.4183454623983 21.9848798526422 0 6.15123615176151 0 0 0 39.5694737127371 84.9038299644309 80.2593831182248 75.3213145392954 0 44.7874005623307 66.5840742411925 75.7552955674119
ENSG00000111671 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000176476 0 15.851352754065 0 4.16247075203252 17.720425298103 49.1625665294714 0 11.5052567378049 5.95305344173441 5.91456118563685 8.40339292344174 24.232507725271 124.27321864668 0 57.8428724966124 124.252805550474 0 113.374208036924 74.6774171646342 12.526972950542
ENSG00000172845 118.052192974255 145.11235248645 15.3159558807588 15.2733948238482 11.4289822831978 54.8474594292004 41.3040203285907 41.21919388042 32.4440664549458 65.5170741446476 118.296803658537 40.5262996053523 6.38152761856368 0 5.93100235433604 30.8300064854336 0 15.0445364430894 13.5763591327913 0
ENSG00000186998 -12.1353819156504 0 0 -19.6719801727642 0 -7.49263466971545 0 0 -35.6440980081301 -12.2440786890244 -20.3839543191057 -6.6172031148374 1.98932672764228 28.3132516683605 8.3425187601626 0 -6.44622172256098 0 -100.087803346037 73.6115819901762
ENSG00000171533 0 0 2.46542763211382 2.39232486788618 0 0 0 0 9.92520928014905 0 0 0 0 18.7732928048781 16.8202829623984 0 38.6525022645664 0 2.01439851626016 67.4705033197832
ENSG00000112357 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000124767 0 0 2.44118134146341 0 0 2.42374157520325 0 0 0 0 0 0 -1.97431418191057 -9.61686513719512 -13.5889524457995 -14.8232805860433 0 -2.02103743394309 0 -18.0117222577913
ENSG00000162616 0 0 0 0 0 0 0 0 0 0 0 0 0 -7.61431587059621 -12.8993607723577 0 0 0 0 -7.49788559620597
ENSG00000112739 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000088305 110.230658461213 159.702476554031 80.1730709103997 238.412463417175 162.844894846714 186.433151889397 186.46825439956 70.9771083968495 178.311198271511 91.5246834713753 16.7215485120258 0.603629388550141 0.606943290989165 27.0466078108062 16.51684055979 -1.66729827913279 56.6021005851965 3.07303508976965 30.5897577295054 67.3644077803184
ENSG00000109099 -131.524556875 0 3.94484668699187 -93.3970242598239 0 0 12.0297297560976 0 -209.649643998984 0 -3.36067562330624 0 -243.708144092141 -231.26283984248 -158.993989971206 -328.992431031504 -42.0839122730352 -243.206342174797 -282.56533714939 -174.658869085366
ENSG00000205358 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000088538 -316.414228922764 -249.251469991532 -247.277738040312 -61.6736224966126 -201.308482596545 -185.088699408876 -330.377645020325 -99.3250532859079 -117.4165962771 -295.230172799797 -92.2814641294038 -56.428922245935 5.98354371951221 25.6272469834011 14.8618624441057 5.9759292987805 6.34271199186993 6.02734781504066 0 32.1117578726287
ENSG00000131467 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000126709 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -6.81030178184282 0 0 0 0
ENSG00000117592 0 0 0 0 0 0 0 0 0 0 0 0 -38.6692975719851 -22.7479402718496 -22.396019113313 -73.0672657156165 0 -45.3144507359417 -59.291137311145 -59.8513564625677
ENSG00000168924 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000164329 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000137960 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000156171 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000182944 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000140092 0 0 0 0 0 0 0 0 0 0 -3.52729024051491 -3.31484442073171 -3.69993289634146 -3.24805988313008 0 -6.91919370257453 0 -3.66088889227642 0 -3.36654786077236
ENSG00000117748 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000114107 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000010818 -37.5839480707995 -571.899471181403 -523.985876491362 -5.53918580284553 -492.758199526592 -651.094926340617 -503.087257690549 -139.854660956978 -14.6159090447154 -609.799216513381 6.1039835196477 19.3200296341464 34.9493791768293 73.4827392665989 35.5459360213415 35.2506469817074 -4.77072997628726 35.338987347561 -36.5109112228997 45.7192842344174
ENSG00000125409 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000119927 0 0 0 0 0 0 0 0 0 0 0 0 0 2.37269808434959 10.0530226439702 2.55352527100271 0 0 0 2.36870388211382
ENSG00000100285 -119.219680938347 -115.108491974932 -113.911204688347 -103.109192808266 -87.5674747916667 -114.118727127371 -99.8408015955285 -96.4100570121952 -113.955193285908 -114.357730359079 -117.021745829946 -116.233953953252 -114.879438221545 -111.089157525407 -125.699640240515 -111.356676832656 -118.027109617209 -115.984597374661 -102.70437826897 -122.776364142954
ENSG00000131471 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000135441 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000167900 314.640712806572 334.021654280149 145.983024005759 177.257448494241 366.996318639905 299.684727445799 160.979454920393 218.594210342141 43.5166668428184 364.583334927168 1.43627444275068 1.43521038448509 -22.6448938888889 -18.9315278810975 -16.8222034756097 -19.6745860365853 0 -24.2179927371274 -1.81724438346883 -21.7540096747967
ENSG00000164758 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000172689 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000101367 103.872781783536 132.609596966463 114.527502759146 76.376810631775 93.8507706046747 100.074102129065 135.548877860772 65.4387815006774 43.4205634773034 93.923803938008 91.3928542699865 115.155809791667 71.1524772103659 9.28156257791327 35.9045858384146 80.0499825897697 6.71858906165311 69.1933478743225 87.1416452286586 4.61085459010839
